17,18,22,24,30,35
5,6,24,29,37,48  
5,6,8,30,48,49   
2,11,21,46,47,48 
7,20,21,38,39,43 
11,12,22,33,34,44
5,21,30,32,41,45 
3,18,27,41,45,49 
5,26,28,30,31,45 
6,8,13,17,42,43  
11,14,24,33,35,37
1,7,8,9,16,29    
1,3,6,18,30,42   
15,21,26,35,37,46
9,11,14,35,42,43 
19,20,24,29,34,37
5,22,27,34,35,36 
1,5,24,25,38,46  
6,11,16,18,30,44 
11,16,19,30,32,36
8,9,26,29,45,47  
3,10,11,19,21,46 
10,25,32,39,41,43
7,16,33,44,46,47 
2,22,30,33,38,44 
21,23,24,33,38,42
1,15,24,27,31,48 
5,12,27,33,36,39 
11,20,26,31,32,38
3,9,19,26,37,48  
1,5,10,19,43,48  
13,29,30,32,40,45
1,8,10,18,29,47  
7,8,16,21,32,36  
9,12,15,38,42,48 
8,16,17,29,40,45 
7,8,10,20,28,46  
17,18,23,25,27,32
1,12,17,18,38,46 
12,13,18,19,37,46
2,5,13,25,30,40  
9,18,30,35,46,48 
17,25,32,33,40,41
7,17,23,30,46,48 
8,9,12,14,23,43  
21,26,38,39,41,49
14,21,24,27,47,49
4,20,31,32,38,42 
14,21,26,29,31,48
6,17,20,32,39,45 
1,5,13,29,30,41  
9,19,33,40,41,47 
6,10,19,22,27,43 
1,3,4,16,21,48   
2,19,21,23,32,36 
5,14,16,17,24,47 
7,9,12,18,28,48  
3,8,9,22,31,41
7,8,13,24,30,48
6,13,16,30,34,45
7,19,20,27,28,46
14,21,25,35,40,41
1,6,8,13,32,33
17,20,21,44,46,49
4,9,12,24,32,39
3,17,25,33,36,42 
3,13,16,20,21,42
5,10,20,34,43,45
5,13,14,22,41,45
3,5,23,25,42,48
2,8,28,33,34,47
11,15,19,31,34,46
3,4,7,15,24,28
10,14,24,32,40,45
5,17,18,28,30,38
6,7,17,32,44,47
5,11,12,24,26,38
7,10,16,30,33,47
5,14,18,38,43,44
4,6,11,24,28,37
9,11,13,32,35,37
4,5,21,29,38,45
1,8,22,26,29,38
8,9,21,28,39,41
20,21,30,32,46,47
5,15,26,30,36,41
4,7,24,29,38,43
2,15,22,32,38,47
11,23,35,40,44,45
9,12,14,26,29,44
1,20,27,39,47,49
5,19,32,39,43,44
2,14,25,27,30,42
19,22,24,34,42,46
10,11,19,29,35,44
4,15,23,30,40,47
24,31,38,39,44,45
14,17,18,23,47,48
16,17,21,40,42,44
27,33,37,38,47,49
4,5,16,25,33,48
9,11,12,18,28,43
4,13,17,23,28,45
7,12,23,27,42,47
5,6,9,22,29,36
4,9,20,35,38,44
4,5,26,33,39,41
7,8,28,35,45,46
1,11,16,25,36,45
7,16,27,28,32,43
1,11,17,31,32,39
2,10,17,20,32,37
6,8,14,16,33,37
6,7,9,15,30,40
12,14,18,22,31,47
2,4,10,13,19,42
