3,8,21,26,29,35 
12,19,25,35,36,38 
2,7,28,36,39,48 
2,4,15,25,42,44 
6,11,22,24,29,38 
11,13,14,17,31,42 
9,14,17,21,26,44 
8,12,21,37,38,48 
16,25,26,30,34,42 
1,3,27,33,35,37 
5,8,17,20,35,49 
5,26,35,43,44,48 
17,19,24,30,38,42 
18,21,23,46,47,49 
10,19,22,27,40,49 
8,11,21,28,32,45 
1,8,13,37,46,49 
18,21,28,32,40,46 
3,17,19,38,42,43 
4,11,18,26,33,40 
11,19,23,38,43,47 
3,9,15,23,34,42 
8,23,31,39,45,49 
5,11,19,23,35,42 
6,9,24,29,34,36 
3,16,30,34,35,36 
13,27,28,43,45,49 
1,9,19,27,29,43 
1,3,7,21,26,42 
5,16,26,29,30,34 
6,7,11,12,25,48 
17,19,20,40,43,45 
14,22,25,29,33,42 
7,13,14,30,33,46 
1,10,20,21,34,43 
2,11,15,37,40,46 
24,30,33,35,38,45 
9,25,34,35,40,42 
1,17,36,38,42,45 
1,11,18,23,37,44 
2,4,35,39,45,46 
19,28,30,36,47,48 
6,18,21,28,37,38 
8,10,20,22,25,33 
12,15,17,25,29,30 
2,4,10,17,31,45 
8,9,18,19,34,37 
11,12,21,35,36,49 
9,11,15,16,25,26 
5,7,34,35,39,49 
3,6,12,19,35,45 
8,17,18,25,27,49 
10,19,37,39,47,49 
14,15,16,31,34,44 
18,26,27,37,44,45 
16,19,23,37,42,45 
3,15,17,19,31,49 
3,6,12,23,35,39 
10,15,22,36,37,39 
2,20,29,32,35,44 
2,6,9,22,30,35 
3,12,28,43,44,45 
9,12,18,34,44,48 
7,9,17,19,32,34 
3,9,13,14,23,44 
9,10,15,17,22,37 
23,24,26,34,40,47 
4,20,22,27,28,46 
13,21,32,39,45,46 
3,7,14,32,35,44 
6,13,24,26,31,34 
10,15,30,34,35,48 
1,12,16,35,39,48 
15,19,36,43,45,46 
11,13,19,21,44,46 
27,30,33,34,43,47 
2,7,14,26,30,32 
1,8,16,21,27,41 
2,9,28,37,39,45 
15,18,27,35,45,49 
1,13,17,30,43,46 
7,17,18,29,39,46 
3,7,8,17,27,37 
17,22,23,28,33,41 
16,17,22,35,48,49 
2,16,19,21,26,28 
6,13,20,32,36,43 
4,15,16,25,29,48 
1,9,20,33,35,40 
13,21,24,25,33,42 
2,19,32,37,39,40 
23,29,30,40,44,45 
3,5,24,25,30,32 
3,9,20,30,39,47 
24,31,37,40,44,46 
3,5,20,31,33,42 
19,21,29,30,39,44 
12,13,15,19,32,33 
3,7,26,29,32,35 
29,32,36,40,42,43 
1,2,9,17,32,45 
11,14,16,23,34,35 
12,20,26,29,39,44 
3,14,38,39,44,48
5,10,11,35,40,41 
3,8,15,23,25,31 
15,18,26,41,44,47 
1,13,17,31,35,46 
4,26,32,33,44,48 
12,22,26,31,42,47 
3,8,9,20,39,43 
28,29,32,38,39,48 
4,6,17,22,38,48 
